Num_Acc;PriseEnCharge
202 000 000 001,00;2278,68
202 000 000 002,00;2573,46
202 000 000 003,00;2766,99
202 000 000 004,00;2544,67
202 000 000 005,00;1315,94
202 000 000 006,00;2040,1
202 000 000 007,00;2675,42
202 000 000 008,00;2265,86
202 000 000 009,00;2429,44
202 000 000 010,00;1704,46
202 000 000 011,00;2756,64
202 000 000 012,00;2601,56
202 000 000 013,00;1235,27
202 000 000 014,00;1916,7
202 000 000 015,00;3449,06
202 000 000 016,00;1940,84
202 000 000 017,00;2763,28
202 000 000 018,00;1768,95
202 000 000 019,00;1986,92
202 000 000 020,00;3170
202 000 000 021,00;2503,49
202 000 000 022,00;2300,06
202 000 000 023,00;2346,32
202 000 000 024,00;2265,21
202 000 000 025,00;3084,78
202 000 000 026,00;2534,15
202 000 000 027,00;2401,14
202 000 000 028,00;3813,08
202 000 000 029,00;2727,43
202 000 000 030,00;2795,43
202 000 000 031,00;2612,94
202 000 000 032,00;2343,65
202 000 000 033,00;2195,58
202 000 000 034,00;1760,26
202 000 000 035,00;2547,84
202 000 000 036,00;2967,99
202 000 000 037,00;3618,93
202 000 000 038,00;2401,1
202 000 000 039,00;2292,68
202 000 000 040,00;2121,75
202 000 000 041,00;2359,71
202 000 000 042,00;2957,78
202 000 000 043,00;2005,77
202 000 000 044,00;2465,27
202 000 000 045,00;3974,54
202 000 000 046,00;2323,75
202 000 000 047,00;2754,65
202 000 000 048,00;2241,8
202 000 000 049,00;2815,42
202 000 000 050,00;2657,7
202 000 000 051,00;2228,24
202 000 000 052,00;2676,86
202 000 000 053,00;1554,09
202 000 000 054,00;2835,81
202 000 000 055,00;3542,31
202 000 000 056,00;1759,83
202 000 000 057,00;2227,99
202 000 000 058,00;1727,32
202 000 000 059,00;3337,12
202 000 000 060,00;2627,24
202 000 000 061,00;2001,72
202 000 000 062,00;2979,28
202 000 000 063,00;2842,8
202 000 000 064,00;1357,48
202 000 000 065,00;2205,6
202 000 000 066,00;2291,27
202 000 000 067,00;2496,09
202 000 000 068,00;1610,02
202 000 000 069,00;2216,87
202 000 000 070,00;1155,99
202 000 000 071,00;2668,44
202 000 000 072,00;1493,49
202 000 000 073,00;1866,64
202 000 000 074,00;3287,56
202 000 000 075,00;3026,62
202 000 000 076,00;2851,98
202 000 000 077,00;2015,37
202 000 000 078,00;3200,86
202 000 000 079,00;2720,2
202 000 000 080,00;3583,48
