Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202 000 000 001,00;4;HENRI BARBUSSE (AVENUE);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 002,00;4;MOUSSEAUX(CHEMIN);0;N/A;2;2;0;1;0;100;3;;-1;1;0;1;50
202 000 000 003,00;4;CARNOT(AVENUE);0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 004,00;4;VICTOR HUGO (AVENUE);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;30
202 000 000 005,00;3;35;0;N/A;1;1;0;1;4;674;2;;-1;1;3;8;50
202 000 000 006,00;3;D6015;0;N/A;2;3;0;1;66;170;1;;-1;2;0;1;80
202 000 000 007,00;3;DE GAULLE ( AVE DU GLE )A PARTIR DES NR;0;N/A;2;6;0;1;3;600;1;;-1;1;0;1;50
202 000 000 008,00;4;N/A;0;N/A;2;4;0;1;-1;-1;1;;-1;2;5;1;50
202 000 000 009,00;3;928;0;N/A;2;2;0;1;6;0;1;;-1;1;5;1;50
202 000 000 010,00;3;941;0;N/A;2;2;0;1;134;400;1;;5;1;0;1;80
202 000 000 011,00;7;22;0;N/A;2;3;0;1;-1;-1;3;;-1;1;0;1;50
202 000 000 012,00;4;LECLERC (RUE DU MARECHAL);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 000 013,00;4;N/A;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 014,00;4;N/A;0;N/A;2;2;1;1;-1;-1;3;;-1;1;0;1;50
202 000 000 015,00;3;GEORGES CLEMENCEAU (AVENUE);0;N/A;2;2;0;2;0;0;3;;-1;2;0;4;50
202 000 000 016,00;4;VERN (DE);0;N/A;2;2;0;1;0;0;1;;-1;1;5;1;50
202 000 000 017,00;4;GRIMAULT (BD LEON);0;N/A;3;2;2;1;-1;-1;1;;-1;1;0;5;50
202 000 000 018,00;4;CHATEAUGIRON (DE);0;N/A;2;4;0;1;0;0;1;;-1;2;5;1;50
202 000 000 019,00;3;5;0;N/A;2;2;0;2;21;203;3;;5;2;0;3;80
202 000 000 020,00;4;40 avenue du 8 Mai ;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 000 021,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 022,00;4;LUXEMBOURG   AVENUE DE;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 023,00;4;N/A;0;N/A;2;4;0;2;0;0;1;;-1;1;2;1;50
202 000 000 024,00;4;N/A;0;N/A;1;2;0;4;0;0;1;;-1;1;0;1;50
202 000 000 025,00;4;CANNES (ROUTE DE) ;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 026,00;4;VAL FLEURI CHEMIN DU;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 027,00;4;CURIE PIERRE ET MARIE AVENUE;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 028,00;4;N/A;0;N/A;1;2;3;1;0;0;1;;-1;1;0;1;50
202 000 000 029,00;4;N/A;0;N/A;1;1;0;2;0;0;1;;-1;8;0;1;30
202 000 000 030,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;2;0;1;50
202 000 000 031,00;4;N/A;0;N/A;3;4;0;1;0;0;1;;-1;2;0;1;50
202 000 000 032,00;4;N/A;0;N/A;2;4;1;1;0;0;1;;-1;1;0;5;30
202 000 000 033,00;4;N/A;0;N/A;2;4;3;1;0;0;1;;-1;1;0;6;50
202 000 000 034,00;4;N/A;0;N/A;1;2;1;1;0;0;1;;-1;1;0;5;30
202 000 000 035,00;4;N/A;0;N/A;1;3;3;1;0;0;1;;-1;1;0;6;50
202 000 000 036,00;3;PRESIDENT WILSON (AV DU);0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
202 000 000 037,00;3;LEON GOURDAULT (AV);0;N/A;1;2;0;1;0;1;1;;-1;1;5;1;50
202 000 000 038,00;3;4;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
202 000 000 039,00;3;219;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 000 040,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;1;9;1;10
202 000 000 041,00;3;GENERAL DE GAULLE (AVENUE);0;N/A;3;4;0;1;1;0;1;;-1;1;0;1;50
202 000 000 042,00;3;933;0;N/A;3;4;0;1;0;1;1;;-1;1;0;1;50
202 000 000 043,00;3;PARIS RUE DE;0;N/A;2;2;0;1;0;1;1;;-1;1;9;8;50
202 000 000 044,00;3;901;0;N/A;3;5;0;1;1;1;1;;-1;1;0;1;50
202 000 000 045,00;3;403;0;N/A;3;4;0;2;0;1;1;;-1;1;0;1;50
202 000 000 046,00;3;40;0;N/A;3;6;0;1;0;1;1;;-1;1;5;1;50
202 000 000 047,00;3;986;0;N/A;1;3;3;2;0;0;1;;-1;1;0;6;50
202 000 000 048,00;3;643;0;D;2;2;0;1;44;272;3;;-1;1;0;1;50
202 000 000 049,00;3;118;-1;D;-1;2;0;1;-1;-1;1;;-1;1;5;1;30
202 000 000 050,00;3;900;-1;D;3;4;0;3;-1;-1;1;;-1;1;0;3;110
202 000 000 051,00;4;Rue Ernest Renan;-1;N/A;2;2;0;2;-1;-1;1;;7;2;0;1;50
202 000 000 052,00;3;817;-1;N/A;2;2;0;2;19;950;3;;-1;1;0;1;80
202 000 000 053,00;4;517;-1;N/A;2;2;0;1;-1;-1;4;;-1;1;0;3;80
202 000 000 054,00;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;3;50
202 000 000 055,00;3;12;2;N/A;2;2;0;1;4;810;1;;-1;1;0;1;50
202 000 000 056,00;3;33;0;N/A;2;2;0;1;39;551;1;;-1;2;0;3;80
202 000 000 057,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;4;1;0;3;50
202 000 000 058,00;3;73;0;N/A;2;2;0;1;26;50;1;;-1;1;9;3;80
202 000 000 059,00;3;1516;0;N/A;2;2;0;2;15;625;1;;-1;1;0;1;50
202 000 000 060,00;3;D943;-1;N/A;2;2;0;2;45;600;2;;-1;1;0;3;80
202 000 000 061,00;3;175;-1;N/A;2;2;0;2;1;424;1;;-1;1;0;3;80
202 000 000 062,00;3;338;0;D;2;3;0;1;-1;-1;1;;-1;2;0;1;50
202 000 000 063,00;3;6098;-1;N/A;2;2;0;1;10;295;1;;-1;1;0;1;50
202 000 000 064,00;3;916;0;D;2;2;0;1;18;100;1;;-1;1;0;1;-1
202 000 000 065,00;3;90;0;N/A;2;2;0;1;2;700;1;;-1;2;0;1;80
202 000 000 066,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;4;1;0;4;-1
202 000 000 067,00;3;430;-1;N/A;2;2;0;1;0;800;2;;-1;1;5;1;50
202 000 000 068,00;3;5;-1;N/A;2;2;0;2;42;415;1;0;6;1;0;3;80
202 000 000 069,00;3;86;-1;N/A;2;2;0;1;61;550;1;;-1;1;5;1;50
202 000 000 070,00;9;PC;0;U;2;2;1;1;8;400;1;;-1;2;9;5;30
202 000 000 071,00;3;939;0;N/A;2;2;0;1;65;0;1;;-1;1;0;3;50
202 000 000 072,00;3;9,39E+04;2;E;2;2;0;2;6;430;3;;-1;2;0;3;80
202 000 000 073,00;3;274;-1;N/A;2;2;0;1;4;600;3;;-1;1;0;1;80
202 000 000 074,00;3;115;-1;N/A;2;2;0;2;4;800;1;;-1;1;5;1;70
202 000 000 075,00;3;17;-1;N/A;2;2;1;2;21;600;1;;-1;1;0;1;50
202 000 000 076,00;4;N/A;0;N/A;2;2;3;1;-1;-1;1;;4;1;9;6;50
202 000 000 077,00;3;4;-1;N/A;2;2;0;1;0;40;3;;-1;1;0;3;80
202 000 000 078,00;1;6;-1;A;3;3;0;1;89;200;1;;-1;2;0;4;130
202 000 000 079,00;1;660;0;N/A;3;4;0;1;7;300;3;;-1;2;0;1;130
202 000 000 080,00;1;2;0;N/A;1;4;0;1;21;700;1;;-1;1;0;1;130
202 000 000 081,00;2;3;0;N/A;2;2;0;1;133;350;1;;-1;1;0;1;50
202 000 000 082,00;3;203;0;D;2;2;0;1;3;350;1;;-1;1;9;4;70
202 000 000 083,00;3;24;0;N/A;2;2;0;2;17;420;3;;-1;1;0;3;70
202 000 000 084,00;3;674;-1;N/A;2;2;0;2;13;300;1;;-1;1;0;1;50
202 000 000 085,00;3;420;-1;N/A;2;2;0;1;7;300;1;;-1;1;9;1;50
202 000 000 086,00;3;995;-1;N/A;2;2;0;3;6;750;2;;-1;1;2;4;50
202 000 000 087,00;3;1084;0;N/A;3;1;0;1;6;715;1;;-1;1;0;1;50
202 000 000 088,00;3;RD43;-1;N/A;2;2;0;2;-1;-1;3;;-1;1;0;3;50
202 000 000 089,00;3;150 E;-1;N/A;2;2;0;1;-1;-1;3;;-1;1;0;1;50
202 000 000 090,00;2;249;-1;N;1;1;0;2;16;100;1;;-1;2;3;3;80
202 000 000 091,00;1;A7-Sens Marseille vers Lyon;0;N/A;-1;3;0;1;265;500;1;;-1;1;0;1;90
202 000 000 092,00;1;A55-Sens Martigues vers Marseille;0;N/A;3;3;0;1;17;200;1;;-1;1;0;1;110
202 000 000 093,00;1;51;0;N/A;1;3;0;1;16;500;1;;-1;1;0;1;110
202 000 000 094,00;3;188;0;N/A;2;2;0;1;6;300;2;;-1;1;0;3;80
202 000 000 095,00;2;86;0;N/A;2;4;0;1;53;291;1;;-1;1;0;1;90
202 000 000 096,00;1;13;0;N/A;3;3;0;1;36;99;1;;14;1;0;1;130
202 000 000 097,00;1;BDL;0;N/A;1;2;0;2;0;349;3;;-1;1;2;1;50
202 000 000 098,00;1;15;0;N/A;3;4;0;1;4;900;1;;14;1;2;1;110
202 000 000 099,00;1;86;0;N/A;3;3;0;1;9;699;1;;10,5;1;0;1;90
202 000 000 100,00;3;45;0;N/A;2;2;0;2;1;600;1;;-1;1;0;1;50
202 000 000 101,00;3;110;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 102,00;4;583;0;N/A;2;2;0;1;0;0;2;;-1;1;5;3;50
202 000 000 103,00;4;358;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 104,00;3;3;2;N/A;2;2;0;2;0;0;4;;-1;1;0;3;50
202 000 000 105,00;4;CARAMBOLES (DES);0;N/A;2;2;0;1;23;0;1;;-1;2;0;1;50
202 000 000 106,00;3;MACE (ROUTE GABRIEL);0;N/A;2;2;0;2;0;0;1;;-1;1;0;1;50
202 000 000 107,00;4;DE LA GARE(RUE);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 108,00;4;GENERAL FRERE (DU)                  (AV);0;N/A;2;2;1;1;1;0;1;;-1;1;0;4;50
202 000 000 109,00;4;PATRICE LUMUMBA (RUE);0;N/A;1;1;0;1;-1;-1;1;;5;1;0;1;30
202 000 000 110,00;4;JEAN MOULIN                         (QU);0;N/A;3;6;0;1;0;0;1;;-1;1;0;1;50
202 000 000 111,00;4;GRANDE RUE                          (GR);0;N/A;2;4;3;2;0;1;1;;-1;1;0;1;50
202 000 000 112,00;4;MARIETTON                           (R );0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 000 113,00;4;BON PASTEUR (DU)                  AV;0;N/A;2;4;0;3;0;0;3;;-1;2;1;2;50
202 000 000 114,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 115,00;4;BRETIGNY (AVENUE DE);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 116,00;4;JEAN MERMOZ (RUE);0;N/A;-1;0;0;1;0;0;3;;-1;1;0;1;30
202 000 000 117,00;4;DORDOGNE (AVENUE DE);0;N/A;3;2;0;1;0;0;1;;-1;2;0;1;30
202 000 000 118,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 000 119,00;4;N/A;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 120,00;2;7;0;N/A;-1;2;0;2;0;0;1;;-1;1;0;8;50
202 000 000 121,00;4;N/A;0;N/A;1;2;0;1;0;0;2;;-1;2;9;1;30
202 000 000 122,00;4;GARIBALDI (BOULEVARD DES);0;N/A;1;2;0;1;0;0;1;;-1;2;0;1;50
202 000 000 123,00;4;PONTEIX (AVENUE DU);0;N/A;4;3;0;1;1;799;1;;-1;2;0;1;70
202 000 000 124,00;4;PIERRE SEMARD (avenue);0;N/A;2;4;1;1;0;1;1;;-1;1;0;1;50
202 000 000 125,00;3;RD225  (route touristique);0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;70
202 000 000 126,00;4;RUE HOSEPH DE MONTGOLFIER;0;N/A;2;3;1;1;0;1;1;;-1;1;0;1;50
202 000 000 127,00;3;900;0;N/A;2;4;1;2;3;770;1;;-1;1;0;1;50
202 000 000 128,00;4;NC;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 129,00;4;GRES ROSES (ALLEE DES);0;N/A;1;1;0;1;0;0;1;;-1;1;9;8;30
202 000 000 130,00;3;939;0;N/A;2;2;0;2;0;1;1;;-1;1;5;1;50
202 000 000 131,00;3;34E;0;N/A;2;3;0;2;0;893;1;;-1;2;2;1;70
202 000 000 132,00;3;603;0;N/A;2;4;0;1;20;951;1;;-1;1;0;1;50
202 000 000 133,00;3;RD11;0;N/A;2;2;0;1;3;950;1;;-1;1;0;1;70
202 000 000 134,00;4;DES PARCS(allée);0;N/A;2;2;0;1;0;0;1;;-1;2;5;6;50
202 000 000 135,00;4;ANSE D'  (rue);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
202 000 000 136,00;4;9;0;N/A;2;4;1;1;0;0;1;;-1;2;0;1;50
202 000 000 137,00;4;Napoleon Joseph Sarda-Garriga ( rue de );0;N/A;2;2;0;1;0;0;3;;-1;1;0;1;50
202 000 000 138,00;4;ROIS-DE-MAJORQUE (DES);0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 139,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
202 000 000 140,00;4;N/A;0;N/A;2;4;0;1;0;0;1;;-1;2;0;1;50
202 000 000 141,00;4;rue Auger;0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;50
202 000 000 142,00;4;N/A;0;N/A;1;1;0;2;-1;-1;2;;-1;3;0;1;30
202 000 000 143,00;4;BARATTE (FAUBOURG);0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 000 144,00;4;MARNE (AVENUE DE LA);0;N/A;2;3;0;1;0;0;1;;-1;2;0;1;50
202 000 000 145,00;3;465;0;N/A;3;0;0;1;0;530;1;;0;1;0;1;70
202 000 000 146,00;4;N/A;0;N/A;2;2;1;1;0;0;1;;-1;2;0;3;50
202 000 000 147,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
202 000 000 148,00;4;N/A;0;N/A;1;2;0;1;0;0;1;;-1;2;5;3;50
202 000 000 149,00;3;951;0;N/A;3;6;2;3;21;500;1;;-1;2;2;1;70
202 000 000 150,00;3;1205;0;D;2;2;0;1;38;800;1;;-1;1;0;1;70
202 000 000 151,00;2;2;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;70
202 000 000 152,00;3;114;-1;N/A;-1;2;0;3;-1;-1;2;;-1;1;0;3;-1
202 000 000 153,00;2;2;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;3;80
202 000 000 154,00;3;19;-1;B;1;1;0;1;-1;-1;3;;-1;1;3;8;50
202 000 000 155,00;2;40;-1;N/A;2;2;0;2;107;200;3;;-1;1;0;1;80
202 000 000 156,00;2;113;-1;N/A;2;2;0;1;0;555;1;;-1;2;0;3;90
202 000 000 157,00;3;76;-1;N/A;2;1;0;1;0;500;1;;-1;1;0;1;-1
202 000 000 158,00;3;19;-1;N/A;2;2;0;2;-1;-1;3;;-1;2;0;1;-1
202 000 000 159,00;7;2;-1;M;2;2;0;2;23;100;3;;-1;1;0;1;80
202 000 000 160,00;3;906;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;70
202 000 000 161,00;3;30;-1;N/A;-1;2;0;1;5;480;3;;-1;1;0;1;80
202 000 000 162,00;4;52;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;70
202 000 000 163,00;3;rd22;0;N/A;2;2;0;1;19;350;2;;-1;1;5;1;50
202 000 000 164,00;3;77;-1;N/A;1;1;0;1;0;600;2;;-1;1;5;1;30
202 000 000 165,00;3;52;0;N/A;2;2;0;1;4;500;1;;-1;2;0;1;80
202 000 000 166,00;2;24;-1;N/A;3;4;0;1;15;550;1;;-1;1;0;1;110
202 000 000 167,00;3;901;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;80
202 000 000 168,00;1;Autoroute A30;0;N/A;3;4;0;1;19;500;2;;-1;1;0;3;110
202 000 000 169,00;1;Autoroute A31;0;N/A;3;4;0;1;327;399;1;;-1;1;0;1;110
202 000 000 170,00;1;630;0;N/A;1;1;0;2;19;30;3;;-1;2;3;1;50
202 000 000 171,00;1;10;0;N/A;3;6;0;2;531;599;1;;-1;1;0;1;130
202 000 000 172,00;1;25;0;N/A;3;4;0;1;19;299;1;;-1;1;0;1;110
202 000 000 173,00;1;AUTOROUTE A10;0;N/A;3;3;0;1;2;750;1;;-1;1;0;1;90
202 000 000 174,00;1;86;0;N/A;1;3;0;1;49;500;1;;-1;1;0;1;90
202 000 000 175,00;1;AUTOROUTE A6;0;N/A;1;3;0;1;16;950;1;;-1;1;0;2;110
202 000 000 176,00;1;AUTOROUTE A6;0;N/A;1;3;0;2;32;200;1;;-1;1;0;1;110
202 000 000 177,00;2;12;0;N/A;3;6;0;1;19;299;1;;-1;1;0;1;110
202 000 000 178,00;2;406;0;W;3;2;0;1;2;799;1;;-1;1;0;1;90
202 000 000 179,00;1;86;0;INT;-1;2;0;3;41;200;1;;-1;1;0;1;90
202 000 000 180,00;4;268;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 181,00;4;ETATS UNIS (DES)                    (BD);0;N/A;1;0;0;1;0;0;1;;-1;1;0;1;50
202 000 000 182,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;1;6;1;30
202 000 000 183,00;4;N/A;0;N/A;1;1;0;1;0;1;1;;-1;1;5;1;50
202 000 000 184,00;3;407;0;N/A;3;4;0;1;3;100;1;;-1;1;0;1;50
202 000 000 185,00;9;GRIBELETTE (AVENUE DE LA);0;N/A;1;1;0;1;0;0;2;;-1;2;9;8;50
202 000 000 186,00;4;TRANSVAL (RUE DE);0;N/A;-1;0;0;1;0;1;1;;-1;1;0;8;50
202 000 000 187,00;4;STALINGRAD    (Boulevard de la Bataille ;0;N/A;1;0;1;1;-1;-1;1;;-1;2;0;1;50
202 000 000 188,00;4;LAYATS (AVENUE DE);0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 189,00;3;CHANTACO (AVENUE DE );0;N/A;2;2;0;1;3;0;1;;-1;1;0;1;70
202 000 000 190,00;1;11;0;N/A;1;0;0;1;349;300;1;;-1;1;0;1;90
202 000 000 191,00;3;952;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 000 192,00;3;DODIN (AVENUE ROGER);0;N/A;1;1;0;1;23;0;3;;-1;1;3;1;50
202 000 000 193,00;4;CRS DU MEDOC;0;N/A;2;4;2;1;-1;-1;1;;-1;1;5;1;50
202 000 000 194,00;3;783;0;N/A;1;4;0;1;54;400;2;;-1;1;0;1;70
202 000 000 195,00;3;313;0;N/A;2;3;0;2;9;140;1;;-1;1;0;1;70
202 000 000 196,00;4;N/A;0;N/A;1;4;3;1;-1;-1;1;;-1;1;0;1;50
202 000 000 197,00;3;4;0;A;-1;2;0;2;0;0;1;;-1;2;0;1;50
202 000 000 198,00;3;D.5;0;N/A;2;2;0;1;0;0;1;;-1;2;0;8;50
202 000 000 199,00;6;N/A;0;N/A;-1;-1;0;1;0;0;1;;-1;1;0;1;50
